Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price,dt
1.1,Ideal,H,SI1,VG,EX,GIA,5169,2009-06-05
0.83,Ideal,H,VS1,ID,ID,AGSL,3470,2009-06-06
0.85,Ideal,H,SI1,EX,EX,GIA,3183,2009-06-07
0.91,Ideal,E,SI1,VG,VG,GIA,4370,2009-06-08
0.83,Ideal,G,SI1,EX,EX,GIA,3171,2009-06-09
1.53,Ideal,E,SI1,ID,ID,AGSL,12791,2009-06-10
1.0,Very Good,D,SI1,VG,G,GIA,5747,2009-06-11
1.5,Fair,F,SI1,VG,VG,GIA,10450,2009-06-12
2.11,Ideal,H,SI1,VG,VG,GIA,18609,2009-06-13
1.05,Very Good,E,VS1,VG,G,GIA,7666,2009-06-14
0.91,Ideal,D,VS2,VG,VG,GIA,6224,2009-06-15
1.01,Good,E,SI1,G,G,GIA,5161,2009-06-16
0.92,Good,I,VS2,VG,VG,GIA,3679,2009-06-17
2.51,Very Good,G,VS2,VG,VG,GIA,34361,2009-06-18
1.5,Very Good,F,SI1,VG,VG,GIA,11004,2009-06-19
2.2,Ideal,H,VS2,EX,VG,GIA,22241,2009-06-20
1.52,Ideal,D,VS1,EX,EX,GIA,17659,2009-06-21
1.28,Very Good,I,VS1,EX,VG,GIA,6726,2009-06-22
1.01,Good,I,SI1,VG,VG,GIA,4238,2009-06-23
0.9,Very Good,F,SI1,VG,EX,GIA,3624,2009-06-24
2.6,Ideal,G,VS2,EX,EX,GIA,37621,2009-06-25
0.8,Very Good,F,VS1,EX,G,GIA,3559,2009-06-26
1.07,Very Good,G,SI1,G,G,GIA,4829,2009-06-27
2.02,Good,I,VVS2,EX,VG,GIA,19756,2009-06-28
2.16,Ideal,F,VVS1,ID,ID,AGSL,44121,2009-06-29
2.03,Good,G,VS1,VG,VG,GIA,23726,2009-06-30
2.02,Very Good,I,SI1,G,G,GIA,14839,2009-07-01
1.01,Very Good,F,SI1,EX,EX,GIA,5010,2009-07-02
2.41,Very Good,H,VS2,EX,EX,GIA,27337,2009-07-03
0.9,Good,H,SI1,VG,G,GIA,3485,2009-07-04
0.92,Ideal,G,SI1,G,VG,GIA,4025,2009-07-05
1.01,Ideal,E,VVS2,EX,EX,GIA,9735,2009-07-06
2.04,Very Good,D,VVS1,VG,VG,GIA,41867,2009-07-07
1.56,Ideal,G,VS1,EX,EX,GIA,14957,2009-07-08
0.77,Signature-Ideal,F,SI1,EX,EX,GIA,3321,2009-07-09
2.01,Very Good,I,VS1,VG,VG,GIA,18023,2009-07-10
