CAT_1_Freq,CAT_2_Freq,CAT_3_Freq,Next_Question,dt
0.483695652,0.391304348,0.125,1,2024-06-27
0.316582915,0.286432161,0.396984925,2,2024-06-28
0.267175573,0.534351145,0.198473282,1,2024-06-29
0.52173913,0.417391304,0.060869565,1,2024-06-30
0.476923077,0.446153846,0.076923077,1,2024-07-01
0.489795918,0.020408163,0.489795918,1,2024-07-02
0.19375,0.2,0.60625,2,2024-07-03
0.007518797,0.353383459,0.639097744,2,2024-07-04
0.555555556,0.349206349,0.095238095,1,2024-07-05
0.127118644,0.457627119,0.415254237,1,2024-07-06
0.130434783,0.217391304,0.652173913,3,2024-07-07
0.021582734,0.395683453,0.582733813,1,2024-07-08
0.091666667,0.225,0.683333333,2,2024-07-09
0.422764228,0.211382114,0.365853659,1,2024-07-10
0.027272727,0.554545455,0.418181818,1,2024-07-11
0.098765432,0.351851852,0.549382716,3,2024-07-12
0.318181818,0.435064935,0.246753247,3,2024-07-13
0.303030303,0.206060606,0.490909091,1,2024-07-14
0.333333333,0.339506173,0.327160494,2,2024-07-15
0.169590643,0.263157895,0.567251462,2,2024-07-16
0.109090909,0.418181818,0.472727273,2,2024-07-17
0.139240506,0.46835443,0.392405063,1,2024-07-18
0.46039604,0.277227723,0.262376238,1,2024-07-19
0.25210084,0.731092437,0.016806723,1,2024-07-20
0.641509434,0.132075472,0.226415094,1,2024-07-21
0.105769231,0.596153846,0.298076923,1,2024-07-22
0.3,0.184615385,0.515384615,1,2024-07-23
0.172413793,0.540229885,0.287356322,1,2024-07-24
0.356862745,0.298039216,0.345098039,1,2024-07-25
0.035714286,0.589285714,0.375,2,2024-07-26
0.109090909,0.690909091,0.2,1,2024-07-27
0.22972973,0.189189189,0.581081081,2,2024-07-28
0.297297297,0.175675676,0.527027027,1,2024-07-29
0.294736842,0.010526316,0.694736842,3,2024-07-30
0.535947712,0.202614379,0.261437908,1,2024-07-31
0.293706294,0.475524476,0.230769231,1,2024-08-01
0.689655172,0.229885057,0.08045977,1,2024-08-02
0.213483146,0.230337079,0.556179775,2,2024-08-03
0.311377246,0.407185629,0.281437126,1,2024-08-04
0.224489796,0.387755102,0.387755102,1,2024-08-05
0.145631068,0.436893204,0.417475728,1,2024-08-06
0.166666667,0.777777778,0.055555556,1,2024-08-07
0.75,0.125,0.125,2,2024-08-08
0.477987421,0.06918239,0.452830189,1,2024-08-09
0.45212766,0.026595745,0.521276596,2,2024-08-10
0.201438849,0.107913669,0.690647482,2,2024-08-11
0.598802395,0.017964072,0.383233533,2,2024-08-12
0.127819549,0.69924812,0.172932331,2,2024-08-13
0.448598131,0.065420561,0.485981308,2,2024-08-14
0.399061033,0.262910798,0.338028169,2,2024-08-15
0.149171271,0.303867403,0.546961326,1,2024-08-16
0.177777778,0.555555556,0.266666667,1,2024-08-17
0.0125,0.575,0.4125,1,2024-08-18
0.532051282,0.352564103,0.115384615,1,2024-08-19
0.375,0.566666667,0.058333333,1,2024-08-20
0.76,0.026666667,0.213333333,1,2024-08-21
0.291187739,0.356321839,0.352490421,1,2024-08-22
0.222222222,0.314814815,0.462962963,2,2024-08-23
0.140495868,0.719008264,0.140495868,1,2024-08-24
0.326732673,0.118811881,0.554455446,2,2024-08-25
0.633802817,0.295774648,0.070422535,1,2024-08-26
0.276595745,0.425531915,0.29787234,2,2024-08-27
0.109756098,0.487804878,0.402439024,1,2024-08-28
0.458823529,0.188235294,0.352941176,1,2024-08-29
0.571428571,0.178571429,0.25,3,2024-08-30
0.259493671,0.563291139,0.17721519,1,2024-08-31
0.283333333,0.608333333,0.108333333,1,2024-09-01
0.34741784,0.192488263,0.460093897,1,2024-09-02
0.113772455,0.311377246,0.574850299,3,2024-09-03
0.073033708,0.382022472,0.54494382,1,2024-09-04
0.480446927,0.335195531,0.184357542,1,2024-09-05
0.317829457,0.360465116,0.321705426,3,2024-09-06
0.05,0.49,0.46,3,2024-09-07
0.117647059,0.661764706,0.220588235,1,2024-09-08
0.449275362,0.096618357,0.45410628,1,2024-09-09
0.087209302,0.424418605,0.488372093,1,2024-09-10
0.451456311,0.165048544,0.383495146,1,2024-09-11
0.054945055,0.714285714,0.230769231,1,2024-09-12
0.014492754,0.427536232,0.557971014,3,2024-09-13
0.22147651,0.255033557,0.523489933,2,2024-09-14
0.263888889,0.569444444,0.166666667,1,2024-09-15
0.414814815,0.311111111,0.274074074,1,2024-09-16
0.056603774,0.330188679,0.613207547,1,2024-09-17
0.320197044,0.487684729,0.192118227,1,2024-09-18
0.464052288,0.117647059,0.418300654,1,2024-09-19
0.322916667,0.552083333,0.125,1,2024-09-20
0.323943662,0.64084507,0.035211268,1,2024-09-21
0.141509434,0.622641509,0.235849057,1,2024-09-22
0.210526316,0.714285714,0.07518797,1,2024-09-23
0.414746544,0.253456221,0.331797235,1,2024-09-24
0.371040724,0.36199095,0.266968326,1,2024-09-25
0.126436782,0.413793103,0.459770115,1,2024-09-26
0.111111111,0.302469136,0.586419753,2,2024-09-27
0.136986301,0.849315068,0.01369863,1,2024-09-28
0.419689119,0.191709845,0.388601036,2,2024-09-29
0.373786408,0.276699029,0.349514563,1,2024-09-30
0.237837838,0.372972973,0.389189189,2,2024-10-01
0.53125,0.0703125,0.3984375,1,2024-10-02
0.318471338,0.324840764,0.356687898,1,2024-10-03
0.321428571,0.339285714,0.339285714,1,2024-10-04
0.292307692,0.420512821,0.287179487,1,2024-10-05
0.071428571,0.380952381,0.547619048,2,2024-10-06
0.78,0.12,0.1,1,2024-10-07
0.217948718,0.33974359,0.442307692,1,2024-10-08
0.271428571,0.071428571,0.657142857,2,2024-10-09
0.761538462,0.069230769,0.169230769,1,2024-10-10
0.516556291,0.456953642,0.026490066,1,2024-10-11
0.115044248,0.831858407,0.053097345,1,2024-10-12
0.406698565,0.311004785,0.282296651,1,2024-10-13
0.566176471,0.294117647,0.139705882,1,2024-10-14
0.169642857,0.071428571,0.758928571,2,2024-10-15
0.329842932,0.261780105,0.408376963,1,2024-10-16
0.060606061,0.181818182,0.757575758,2,2024-10-17
0.426540284,0.241706161,0.331753555,2,2024-10-18
0.6,0.381818182,0.018181818,1,2024-10-19
0.4125,0.1375,0.45,2,2024-10-20
0.465909091,0.352272727,0.181818182,1,2024-10-21
0.14516129,0.408602151,0.446236559,3,2024-10-22
0.321052632,0.468421053,0.210526316,2,2024-10-23
0.41314554,0.253521127,0.333333333,2,2024-10-24
0.046979866,0.302013423,0.651006711,1,2024-10-25
0.188679245,0.037735849,0.773584906,2,2024-10-26
0.404761905,0.361904762,0.233333333,2,2024-10-27
0.166666667,0.234848485,0.598484848,1,2024-10-28
0.678899083,0.137614679,0.183486239,2,2024-10-29
0.084210526,0.468421053,0.447368421,1,2024-10-30
0.357575758,0.266666667,0.375757576,1,2024-10-31
0.508474576,0.118644068,0.372881356,1,2024-11-01
0.087837838,0.574324324,0.337837838,3,2024-11-02
0.220183486,0.412844037,0.366972477,2,2024-11-03
0.548387097,0.435483871,0.016129032,1,2024-11-04
0.407563025,0.298319328,0.294117647,2,2024-11-05
0.456896552,0.413793103,0.129310345,1,2024-11-06
0.322033898,0.491525424,0.186440678,1,2024-11-07
0.794520548,0.04109589,0.164383562,1,2024-11-08
0.557692308,0.230769231,0.211538462,1,2024-11-09
0.471910112,0.129213483,0.398876404,2,2024-11-10
0.729508197,0.213114754,0.057377049,1,2024-11-11
0.524324324,0.227027027,0.248648649,1,2024-11-12
0.134782609,0.434782609,0.430434783,1,2024-11-13
0.288793103,0.379310345,0.331896552,1,2024-11-14
0.365638767,0.383259912,0.251101322,1,2024-11-15
0.246031746,0.126984127,0.626984127,1,2024-11-16
0.238095238,0.462585034,0.299319728,1,2024-11-17
0.369918699,0.353658537,0.276422764,1,2024-11-18
0.156862745,0.362745098,0.480392157,1,2024-11-19
0.117117117,0.288288288,0.594594595,3,2024-11-20
0.447761194,0.253731343,0.298507463,1,2024-11-21
0.421319797,0.365482234,0.21319797,1,2024-11-22
0.382352941,0.358823529,0.258823529,3,2024-11-23
0.211009174,0.449541284,0.339449541,2,2024-11-24
0.866666667,0.0,0.133333333,1,2024-11-25
0.284444444,0.413333333,0.302222222,3,2024-11-26
0.504273504,0.162393162,0.333333333,1,2024-11-27
0.42920354,0.225663717,0.345132743,2,2024-11-28
0.471153846,0.115384615,0.413461538,1,2024-11-29
0.365853659,0.260162602,0.37398374,2,2024-11-30
0.4,0.26,0.34,1,2024-12-01
0.448484848,0.115151515,0.436363636,2,2024-12-02
0.722689076,0.109243697,0.168067227,2,2024-12-03
0.23255814,0.372093023,0.395348837,1,2024-12-04
0.154320988,0.37654321,0.469135802,1,2024-12-05
0.316455696,0.183544304,0.5,1,2024-12-06
0.064220183,0.073394495,0.862385321,2,2024-12-07
0.38125,0.58125,0.0375,1,2024-12-08
0.661870504,0.165467626,0.172661871,1,2024-12-09
0.345528455,0.284552846,0.369918699,2,2024-12-10
0.385057471,0.33908046,0.275862069,1,2024-12-11
0.427027027,0.4,0.172972973,2,2024-12-12
0.434343434,0.060606061,0.505050505,2,2024-12-13
0.325581395,0.395348837,0.279069767,2,2024-12-14
0.234375,0.234375,0.53125,2,2024-12-15
0.366666667,0.544444444,0.088888889,1,2024-12-16
0.342281879,0.630872483,0.026845638,1,2024-12-17
0.703296703,0.054945055,0.241758242,1,2024-12-18
0.138211382,0.138211382,0.723577236,1,2024-12-19
0.115384615,0.115384615,0.769230769,2,2024-12-20
0.410714286,0.220238095,0.369047619,1,2024-12-21
0.356435644,0.148514851,0.495049505,2,2024-12-22
0.538461538,0.051282051,0.41025641,1,2024-12-23
0.266666667,0.391666667,0.341666667,1,2024-12-24
0.26344086,0.241935484,0.494623656,3,2024-12-25
0.235294118,0.196078431,0.568627451,2,2024-12-26
0.405594406,0.062937063,0.531468531,2,2024-12-27
0.0625,0.511363636,0.426136364,3,2024-12-28
0.379310345,0.344827586,0.275862069,3,2024-12-29
0.320261438,0.640522876,0.039215686,1,2024-12-30
0.043103448,0.267241379,0.689655172,3,2024-12-31
0.308943089,0.154471545,0.536585366,2,2025-01-01
0.488764045,0.219101124,0.292134831,1,2025-01-02
0.66,0.32,0.02,1,2025-01-03
0.286713287,0.34965035,0.363636364,1,2025-01-04
0.43902439,0.329268293,0.231707317,1,2025-01-05
0.579617834,0.299363057,0.121019108,2,2025-01-06
0.341346154,0.394230769,0.264423077,1,2025-01-07
0.253246753,0.188311688,0.558441558,2,2025-01-08
0.65625,0.328125,0.015625,1,2025-01-09
0.381294964,0.258992806,0.35971223,1,2025-01-10
0.361702128,0.420212766,0.218085106,1,2025-01-11
0.5,0.090909091,0.409090909,2,2025-01-12
0.509090909,0.345454545,0.145454545,1,2025-01-13
0.413043478,0.369565217,0.217391304,1,2025-01-14
0.666666667,0.141843972,0.191489362,2,2025-01-15
0.331125828,0.238410596,0.430463576,2,2025-01-16
0.223880597,0.552238806,0.223880597,1,2025-01-17
0.227848101,0.436708861,0.335443038,1,2025-01-18
0.375757576,0.606060606,0.018181818,1,2025-01-19
0.42364532,0.487684729,0.088669951,1,2025-01-20
0.039473684,0.302631579,0.657894737,3,2025-01-21
0.430051813,0.512953368,0.056994819,2,2025-01-22
0.530864198,0.320987654,0.148148148,2,2025-01-23
0.205128205,0.333333333,0.461538462,2,2025-01-24
0.163265306,0.31292517,0.523809524,1,2025-01-25
0.291845494,0.343347639,0.364806867,1,2025-01-26
0.359116022,0.171270718,0.46961326,2,2025-01-27
0.87628866,0.072164948,0.051546392,1,2025-01-28
0.676470588,0.029411765,0.294117647,1,2025-01-29
0.38,0.44,0.18,1,2025-01-30
0.231292517,0.102040816,0.666666667,1,2025-01-31
0.155555556,0.496296296,0.348148148,1,2025-02-01
0.169642857,0.044642857,0.785714286,2,2025-02-02
0.132596685,0.436464088,0.430939227,3,2025-02-03
0.446327684,0.192090395,0.361581921,1,2025-02-04
0.038461538,0.376923077,0.584615385,3,2025-02-05
0.256198347,0.314049587,0.429752066,3,2025-02-06
0.20212766,0.531914894,0.265957447,1,2025-02-07
0.441666667,0.516666667,0.041666667,1,2025-02-08
0.304597701,0.206896552,0.488505747,1,2025-02-09
0.311377246,0.107784431,0.580838323,3,2025-02-10
0.3,0.59,0.11,2,2025-02-11
0.41322314,0.301652893,0.285123967,3,2025-02-12
0.461165049,0.189320388,0.349514563,2,2025-02-13
0.552238806,0.179104478,0.268656716,1,2025-02-14
0.544827586,0.172413793,0.282758621,2,2025-02-15
0.008064516,0.266129032,0.725806452,1,2025-02-16
0.325242718,0.359223301,0.315533981,1,2025-02-17
0.503759398,0.421052632,0.07518797,1,2025-02-18
0.157024793,0.330578512,0.512396694,1,2025-02-19
0.278195489,0.616541353,0.105263158,1,2025-02-20
0.465608466,0.518518519,0.015873016,1,2025-02-21
0.293877551,0.351020408,0.355102041,1,2025-02-22
0.275862069,0.613793103,0.110344828,1,2025-02-23
0.437209302,0.134883721,0.427906977,1,2025-02-24
0.488888889,0.111111111,0.4,2,2025-02-25
0.475409836,0.483606557,0.040983607,1,2025-02-26
0.560693642,0.23699422,0.202312139,1,2025-02-27
0.430555556,0.143518519,0.425925926,1,2025-02-28
0.305389222,0.293413174,0.401197605,1,2025-03-01
0.342723005,0.464788732,0.192488263,1,2025-03-02
0.33974359,0.384615385,0.275641026,1,2025-03-03
0.348993289,0.496644295,0.154362416,1,2025-03-04
0.201438849,0.26618705,0.532374101,1,2025-03-05
0.5,0.241935484,0.258064516,1,2025-03-06
0.669172932,0.045112782,0.285714286,1,2025-03-07
0.776699029,0.145631068,0.077669903,2,2025-03-08
0.280701754,0.399122807,0.320175439,1,2025-03-09
0.405405405,0.540540541,0.054054054,1,2025-03-10
0.335078534,0.429319372,0.235602094,3,2025-03-11
0.146551724,0.517241379,0.336206897,2,2025-03-12
0.1875,0.758928571,0.053571429,1,2025-03-13
0.058510638,0.484042553,0.457446809,2,2025-03-14
0.724137931,0.137931034,0.137931034,2,2025-03-15
0.122807018,0.549707602,0.32748538,1,2025-03-16
0.475308642,0.456790123,0.067901235,2,2025-03-17
0.303167421,0.352941176,0.343891403,1,2025-03-18
